2020-08-14/22:53:19				 wafer_13012020_090817.csv: File Transformed successfully!!
2020-08-14/22:53:21				 wafer_16012020_051629.csv: File Transformed successfully!!
2020-08-14/22:53:22				 wafer_20022020_090716.csv: File Transformed successfully!!
2020-08-14/22:53:24				 wafer_21012020_080913.csv: File Transformed successfully!!
2020-08-14/22:53:26				 wafer_23012020_041211.csv: File Transformed successfully!!
2020-08-14/22:53:27				 wafer_27012020_080911.csv: File Transformed successfully!!
2020-08-14/22:53:29				 wafer_28012020_090817.csv: File Transformed successfully!!
2020-08-14/22:53:32				 wafer_28042020_031911.csv: File Transformed successfully!!
2020-08-14/22:53:34				 wafer_29012020_050617.csv: File Transformed successfully!!
2020-08-14/23:04:31				 wafer_13012020_090817.csv: File Transformed successfully!!
2020-08-14/23:04:32				 wafer_16012020_051629.csv: File Transformed successfully!!
2020-08-14/23:04:33				 wafer_20022020_090716.csv: File Transformed successfully!!
2020-08-14/23:04:35				 wafer_21012020_080913.csv: File Transformed successfully!!
2020-08-14/23:04:37				 wafer_23012020_041211.csv: File Transformed successfully!!
2020-08-14/23:04:38				 wafer_27012020_080911.csv: File Transformed successfully!!
2020-08-14/23:04:40				 wafer_28012020_090817.csv: File Transformed successfully!!
2020-08-14/23:04:41				 wafer_28042020_031911.csv: File Transformed successfully!!
2020-08-14/23:04:43				 wafer_29012020_050617.csv: File Transformed successfully!!
2020-08-17/11:40:39				 wafer_13012020_090817.csv: File Transformed successfully!!
2020-08-17/11:40:40				 wafer_16012020_051629.csv: File Transformed successfully!!
2020-08-17/11:40:41				 wafer_20022020_090716.csv: File Transformed successfully!!
2020-08-17/11:40:43				 wafer_21012020_080913.csv: File Transformed successfully!!
2020-08-17/11:40:45				 wafer_23012020_041211.csv: File Transformed successfully!!
2020-08-17/11:40:46				 wafer_27012020_080911.csv: File Transformed successfully!!
2020-08-17/11:40:48				 wafer_28012020_090817.csv: File Transformed successfully!!
2020-08-17/11:40:50				 wafer_28042020_031911.csv: File Transformed successfully!!
2020-08-17/11:40:51				 wafer_29012020_050617.csv: File Transformed successfully!!
